證券代號,發行股數
6923,0.0
6924,0.0
6928,0.0
6931,0.0
6933,0.0
6934,0.0
6936,0.0
6937,0.0
6944,0.0
6949,0.0
6951,0.0
6952,0.0
6955,0.0
6957,0.0
6958,0.0
6962,0.0
6965,0.0
6969,0.0
6988,0.0
6994,0.0
7610,0.0
7631,0.0
7705,0.0
7711,0.0
7721,5000000.0
7722,0.0
7730,0.0
7732,0.0
7736,0.0
7740,0.0
7749,0.0
7750,0.0
7765,0.0
7769,0.0
7780,0.0
7786,0.0
7788,0.0
7791,0.0
7795,0.0
7799,0.0
7821,0.0
7822,0.0
7823,0.0
8011,0.0
8016,0.0
8021,0.0
8028,0.0
8033,7672502.0
8039,0.0
8045,0.0
8046,0.0
8070,0.0
8072,0.0
8081,0.0
8101,36378012.0
8103,0.0
8104,0.0
8105,152981757.0
8110,0.0
8112,0.0
8114,0.0
8131,0.0
8150,0.0
8162,0.0
8163,0.0
8201,0.0
8210,0.0
8213,0.0
8215,0.0
8222,0.0
8249,23475000.0
8261,35000000.0
8271,17041000.0
8341,0.0
8367,0.0
8374,23000000.0
8404,0.0
8411,0.0
8422,0.0
8429,0.0
8438,0.0
8442,0.0
8443,0.0
8454,0.0
8462,0.0
8463,0.0
8464,0.0
8466,0.0
8467,0.0
8473,10676119.0
8476,0.0
8478,0.0
8481,0.0
8482,0.0
8487,0.0
8488,0.0
8499,0.0
8926,0.0
8940,0.0
8996,0.0
9103,0.0
910322,0.0
9105,0.0
910861,0.0
9110,0.0
911608,0.0
911622,0.0
911868,0.0
912000,0.0
9136,0.0
9802,0.0
9902,0.0
9904,0.0
9905,0.0
9906,0.0
9907,0.0
9908,0.0
9910,0.0
9911,0.0
9912,0.0
9914,0.0
9917,0.0
9918,0.0
9919,0.0
9921,0.0
9924,0.0
9925,0.0
9926,0.0
9927,0.0
9928,8800240.0
9929,43800000.0
9930,0.0
9931,0.0
9933,0.0
9934,0.0
9935,0.0
9937,0.0
9938,0.0
9939,0.0
9940,0.0
9941,0.0
9942,0.0
9943,0.0
9944,0.0
9945,0.0
9946,0.0
9955,0.0
9958,0.0
